Organism,class,Sequence_Length
Human,4,207
Human,4,681
Human,3,1686
Human,3,1206
Human,3,1437
Human,3,1686
Human,3,1623
Human,3,1437
Human,3,1623
Human,3,644
Human,3,487
Human,3,356
Human,3,189
Human,3,98
Human,3,85
Human,3,1686
Human,5,2616
Human,5,2616
Human,5,1659
Human,5,2295
Human,5,2436
Human,5,2475
Human,5,2514
Human,2,3525
Human,2,387
Human,2,186
Human,2,587
Human,2,3525
Human,4,1344
Human,4,1569
Human,6,2154
Human,6,2130
Human,6,2289
Human,6,1914
Human,6,996
Human,6,315
Human,6,2289
Human,2,1782
Human,2,525
Human,2,1752
Human,4,897
Human,4,894
Human,0,543
Human,0,1200
Human,0,693
Human,6,3159
Human,6,246
Human,6,405
Human,6,438
Human,6,49
Human,3,1587
Human,3,1167
Human,6,156
Human,6,540
Human,6,615
Human,6,1965
Human,6,2040
Human,6,498
Human,6,480
Human,6,663
Human,6,945
Human,6,1956
Human,6,1977
Human,6,249
Human,6,156
Human,6,288
Human,6,641
Human,6,285
Human,6,1965
Human,6,1803
Human,0,190
Human,0,759
Human,0,387
Human,0,1731
Human,0,1428
Human,0,1629
Human,0,1683
Human,0,1770
Human,0,52
Human,0,267
Human,5,4812
Human,5,4878
Human,5,690
Human,5,4581
Human,5,1515
Human,5,4170
Human,5,903
Human,5,411
Human,5,4929
Human,6,2013
Human,6,2121
Human,6,2049
Human,6,1998
Human,6,2121
Human,6,2049
Human,6,472
Human,6,177
Human,6,1611
Human,6,1341
Human,6,1539
Human,6,951
Human,6,1020
Human,6,147
Human,6,135
Human,6,1410
Human,6,1410
Human,6,505
Human,6,811
Human,0,571
Human,0,3366
Human,0,4017
Human,6,1440
Human,6,966
Human,6,1218
Human,3,1743
Human,6,1455
Human,3,957
Human,3,957
Human,6,1341
Human,6,1161
Human,6,933
Human,6,1050
Human,6,1161
Human,6,1158
Human,6,213
Human,6,345
Human,6,745
Human,6,618
Human,6,661
Human,6,268
Human,6,204
Human,6,138
Human,6,82
Human,6,257
Human,6,1257
Human,6,1458
Human,6,1065
Human,6,819
Human,6,1326
Human,6,139
Human,6,678
Human,4,264
Human,4,369
Human,4,474
Human,4,221
Human,4,346
Human,4,1482
Human,4,1482
Human,4,321
Human,4,244
Human,4,1377
Human,4,123
Human,4,155
Human,4,625
Human,4,264
Human,6,1791
Human,2,2853
Human,2,2940
Human,2,414
Human,2,2670
Human,2,376
Human,2,374
Human,2,498
Human,2,260
Human,2,201
Human,2,159
Human,1,2115
Human,1,2832
Human,2,5724
Human,2,5697
Human,2,788
Human,2,3876
Human,2,4662
Human,2,3999
Human,2,2940
Human,2,789
Human,0,2394
Human,0,1509
Human,2,4014
Human,2,1620
Human,2,360
Human,2,440
Human,2,4017
Human,2,4029
Human,6,150
Human,6,318
Human,6,1359
Human,6,249
Human,6,1260
Human,6,780
Human,6,1161
Human,6,900
Human,6,327
Human,6,327
Human,6,180
Human,6,708
Human,6,272
Human,6,849
Human,6,771
Human,0,1260
Human,3,3531
Human,3,3369
Human,3,483
Human,3,1458
Human,5,3360
Human,5,3480
Human,5,879
Human,5,480
Human,5,411
Human,5,1982
Human,5,498
Human,5,542
Human,6,1191
Human,3,2907
Human,3,841
Human,6,327
Human,6,1065
Human,6,855
Human,6,204
Human,6,393
Human,6,1077
Human,6,1065
Human,6,1188
Human,6,1209
Human,6,1152
Human,6,1221
Human,6,1782
Human,6,1611
Human,6,1476
Human,6,1476
Human,4,996
Human,6,414
Human,6,1389
Human,6,1389
Human,4,1776
Human,4,1776
Human,4,411
Human,4,384
Human,4,300
Human,4,411
Human,4,333
Human,4,296
Human,6,1056
Human,6,1056
Human,6,1056
Human,4,600
Human,2,2742
Human,2,2349
Human,2,2214
Human,2,2520
Human,2,456
Human,2,507
Human,2,414
Human,2,606
Human,4,1386
Human,4,246
Human,1,2469
Human,1,255
Human,1,1362
Human,1,1236
Human,1,489
Human,1,628
Human,1,500
Human,1,443
Human,1,417
Human,1,190
Human,1,1137
Human,1,2631
Human,1,2631
Human,1,2742
Human,1,2742
Human,1,2631
Human,1,1479
Human,1,732
Human,1,2742
Human,1,2685
Human,1,2304
Human,4,1086
Human,4,358
Human,4,1035
Human,4,915
Human,4,573
Human,4,573
Human,4,1035
Human,4,246
Human,4,966
Human,4,192
Human,4,993
Human,4,561
Human,4,561
Human,4,1035
Human,4,246
Human,0,960
Human,4,1401
Human,4,453
Human,4,1605
Human,4,1605
Human,4,243
Human,4,459
Human,4,1743
Human,4,1383
Human,4,246
Human,4,1743
Human,3,2052
Human,3,2052
Human,3,2220
Human,3,2052
Human,3,1980
Human,3,441
Human,3,957
Human,3,966
Human,3,603
Human,3,522
Human,6,3687
Human,6,3903
Human,6,3288
Human,6,453
Human,6,2883
Human,3,1545
Human,3,1611
Human,2,2265
Human,2,2421
Human,2,2427
Human,2,3651
Human,2,1794
Human,2,3567
Human,2,1218
Human,2,1134
Human,2,1218
Human,2,1134
Human,2,267
Human,2,351
Human,5,2295
Human,5,798
Human,5,234
Human,5,417
Human,5,291
Human,5,273
Human,3,2019
Human,3,657
Human,3,3039
Human,1,2931
Human,1,3375
Human,1,3246
Human,1,1405
Human,1,1407
Human,3,185
Human,3,317
Human,3,1497
Human,3,1734
Human,3,1734
Human,3,1734
Human,3,627
Human,3,354
Human,3,1734
Human,3,280
Human,3,2061
Human,3,2058
Human,3,228
Human,0,2625
Human,0,662
Human,0,2721
Human,0,1038
Human,0,471
Human,0,1182
Human,0,1803
Human,0,1659
Human,0,387
Human,0,1716
Human,0,1803
Human,0,1128
Human,0,1050
Human,0,1143
Human,0,1116
Human,0,207
Human,0,1143
Human,0,30
Human,0,978
Human,0,1137
Human,1,1614
Human,1,1662
Human,1,2517
Human,1,2469
Human,1,1434
Human,1,2517
Human,1,1434
Human,1,2469
Human,4,1182
Human,0,1092
Human,0,786
Human,5,852
Human,5,852
Human,5,852
Human,5,551
Human,0,1773
Human,4,156
Human,4,156
Human,4,156
Human,6,595
Human,6,1383
Human,0,1854
Human,6,1359
Human,6,840
Human,6,1041
Human,6,1017
Human,6,648
Human,6,339
Human,6,1050
Human,6,511
Human,6,429
Human,6,762
Human,6,261
Human,6,447
Human,6,825
Human,6,570
Human,6,753
Human,6,465
Human,6,501
Human,6,450
Human,6,2469
Human,2,3564
Human,2,636
Human,0,4425
Human,0,4410
Human,0,730
Human,0,793
Human,0,675
Human,1,177
Human,1,654
Human,1,708
Human,1,177
Human,1,462
Human,1,708
Human,1,708
Human,1,462
Human,1,564
Human,1,399
Human,1,1578
Human,1,1518
Human,1,186
Human,1,126
Human,1,1518
Human,1,1515
Human,1,1581
Human,1,1518
Human,1,1581
Human,1,1578
Human,4,459
Human,4,1587
Human,4,960
Human,0,1485
Human,0,1485
Human,0,1323
Human,4,1152
Human,4,1152
Human,4,1152
Human,4,488
Human,4,46
Human,3,1572
Human,3,1521
Human,3,1605
Human,3,300
Human,3,165
Human,3,240
Human,3,339
Human,3,1572
Human,6,1554
Human,6,300
Human,6,1260
Human,6,162
Human,6,540
Human,6,540
Human,4,380
Human,4,777
Human,4,1218
Human,4,1455
Human,4,681
Human,1,2283
Human,1,1167
Human,1,2373
Human,1,2391
Human,1,2382
Human,0,4569
Human,0,2187
Human,0,204
Human,0,437
Human,0,4569
Human,6,1563
Human,6,1581
Human,6,212
Human,6,471
Human,6,1407
Human,6,351
Human,6,1515
Human,6,1084
Human,6,1242
Human,6,1260
Human,6,318
Human,6,276
Human,6,1074
Human,6,1560
Human,0,2919
Human,0,1104
Human,0,669
Human,0,126
Human,6,489
Human,6,489
Human,6,296
Human,3,1443
Human,3,174
Human,3,201
Human,3,429
Human,3,174
Human,3,201
Human,3,1029
Human,3,201
Human,0,1137
Human,3,978
Human,3,345
Human,3,3192
Human,3,3282
Human,3,3186
Human,3,3192
Human,3,978
Human,3,345
Human,3,3186
Human,3,3282
Human,4,7536
Human,4,7530
Human,4,237
Human,4,84
Human,4,451
Human,4,56
Human,4,31
Human,6,1365
Human,6,1365
Human,4,1422
Human,4,1422
Human,4,459
Human,4,897
Human,4,720
Human,4,576
Human,4,927
Human,4,903
Human,4,742
Human,4,456
Human,3,1530
Human,3,1470
Human,3,1188
Human,3,1323
Human,3,1350
Human,3,1410
Human,3,1308
Human,3,865
Human,3,183
Human,0,1077
Human,4,1764
Human,4,1128
Human,4,1614
Human,4,794
Human,4,584
Human,4,1686
Human,4,1128
Human,1,1584
Human,1,249
Human,1,549
Human,1,147
Human,1,415
Human,6,1224
Human,6,116
Human,6,429
Human,6,479
Human,6,309
Human,4,698
Human,4,915
Human,4,906
Human,4,725
Human,4,529
Human,4,192
Human,4,192
Human,4,290
Human,1,3450
Human,1,192
Human,1,3393
Human,1,4125
Human,1,318
Human,1,2640
Human,1,3816
Human,1,349
Human,4,1692
Human,4,1521
Human,4,294
Human,4,1287
Human,4,1287
Human,4,1437
Human,4,495
Human,4,63
Human,4,1692
Human,5,548
Human,5,1572
Human,5,174
Human,5,1809
Human,5,1875
Human,5,1842
Human,5,252
Human,6,1149
Human,6,1149
Human,6,1149
Human,1,108
Human,1,306
Human,1,435
Human,1,309
Human,1,342
Human,1,108
Human,1,339
Human,1,1896
Human,1,303
Human,1,156
Human,6,1188
Human,6,156
Human,6,1188
Human,6,459
Human,6,372
Human,6,71
Human,0,2613
Human,0,2613
Human,0,2613
Human,0,2529
Human,3,2121
Human,3,267
Human,3,885
Human,3,780
Human,3,252
Human,3,449
Human,3,1008
Human,3,336
Human,3,180
Human,2,7401
Human,2,684
Human,2,6885
Human,2,7458
Human,2,417
Human,2,7473
Human,2,7473
Human,6,1527
Human,6,1473
Human,6,1401
Human,4,1689
Human,4,1800
Human,4,468
Human,4,1473
Human,4,1656
Human,4,1614
Human,4,1893
